Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Laptop,Dell,XPS 15 9530,Windows 11 Home,78,4,76,Content Creator,Spring,32,1024,55,Extended Warranty,2,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,5378,5,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Desktop,MSI,MAG Codex X5,Windows 11 Home,35,11,20,Content Creator,Monsoon,128,512,0,Under Warranty,0,Clicking Sound,Slow Performance,File Corruption,HDD,High,3574,2,Backup data immediately. Replace HDD. Run bad sector scan.
Desktop,MSI,Infinite RS,Windows 11 Home,72,2,61,Content Creator,Monsoon,128,512,0,Expired,1,Game Crashes,Visual Glitches,High GPU Temp,GPU,High,15778,6,Clean GPU fan. Repaste GPU. Update drivers. Replace GPU if artifacts persist.
Router,Netgear,Orbi RBK752,AsusWRT,21,4,11,Gaming,Spring,0,0,0,Expired,2,Router Hot To Touch,Randomly Disconnecting,Slow After Running Long,Overheating,Medium,746,1,Improve ventilation. Place router in open area. Consider adding heatsink.
Smart TV,TCL,S546,Tizen 7.0,18,9,2,Student,Monsoon,1,32,0,Under Warranty,0,TV Not Starting,Standby Light Blinking,Shuts Down Randomly,Power Board,High,2454,2,Replace power supply board. Check capacitors for bulging.
Mobile,Oppo,A38,iOS 15,5,12,2,Education,Spring,4,256,53,Under Warranty,3,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,750,2,"Clean charging port with compressed air. If issue persists, replace port."
Mobile,Realme,11 Pro,iOS 15,31,1,30,Student,Spring,12,64,20,Under Warranty,4,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,2571,4,"Try original charger. If issue persists, replace Charging IC."
Printer,Samsung,Xpress C1860FW,macOS Sonoma,17,8,11,Normal,Monsoon,0,0,0,Under Warranty,2,Printer Offline,Cannot Print Wirelessly,Network Not Found,WiFi Module,Medium,1398,3,Reset network settings. Reconnect to WiFi. Update printer firmware.
Smartwatch,boAt,Cosmos X3,RTOS,66,4,56,Student,Winter,1,16,82,Extended Warranty,1,No GPS Signal,Inaccurate Location,GPS Not Locking,GPS Module,Medium,1974,6,Update firmware. Sync with phone. Replace GPS module if hardware fault.
Mobile,Vivo,V27 Pro,Android 14,83,6,77,Normal,Monsoon,12,1024,71,Expired,3,No Sound,Calls OK,Headphones Work,Speaker,Medium,2128,1,"Clean speaker grille. If no improvement, replace speaker unit."
Tablet,Apple,iPad mini 7,Android 13,78,9,67,Content Creator,Monsoon,8,128,15,Extended Warranty,0,WiFi Dropping,Cannot Connect,Slow WiFi,WiFi Module,Medium,1450,3,Update firmware. Reset network settings. Replace WiFi module.
Printer,Brother,MFC-L2750DW,macOS Sonoma,78,11,71,Office,Autumn,0,0,0,Under Warranty,4,Spots On Print,Ghost Images,Dark Patches On Pages,Drum Unit,High,4202,2,Replace drum unit. Clean corona wire if accessible.
Mobile,Apple,iPhone 15 Pro Max,Android 13,83,3,81,Healthcare,Summer,4,1024,83,Extended Warranty,0,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,4545,1,"Clear camera cache. If issue persists, replace camera module."
Tablet,Samsung,Galaxy Tab S9 Ultra,iPadOS 17,52,7,34,Education,Autumn,4,64,38,Expired,1,Blurry Camera,Camera Not Opening,Autofocus Failure,Camera,Medium,3506,2,Clear camera app cache. Replace camera module if hardware fault.
Mobile,Oppo,A58,iOS 17,68,8,53,Content Creator,Spring,6,256,66,Under Warranty,4,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1291,2,Replace charging port module.
Mobile,Vivo,Y100,iOS 16,65,14,53,Normal,Winter,6,1024,89,Under Warranty,1,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,516,1,Clean speaker. Update audio drivers. Replace if faulty.
Smartwatch,Garmin,Vivoactive 5,Fitbit OS 6,46,14,37,Content Creator,Spring,1,32,92,Extended Warranty,1,Digital Crown Stuck,Button Not Responding,Crown Fallen Off,Crown Button,Low,853,3,Clean around crown. Replace digital crown assembly.
Mobile,Apple,iPhone 16,Android 14,42,3,31,Education,Winter,6,64,66,Extended Warranty,3,Flickering Screen,Lines On Screen,Touch OK,Display,High,8308,2,Replace AMOLED display panel. Use original parts for best quality.
Mobile,Xiaomi,14,iOS 17,28,2,11,Student,Winter,8,64,15,Under Warranty,1,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,1070,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Mobile,Motorola,G54,iOS 17,49,9,36,Business,Summer,8,1024,8,Under Warranty,4,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,1139,1,Clean speaker. Update audio drivers. Replace if faulty.
Mobile,Samsung,Galaxy Z Flip 5,Android 12,75,16,71,Normal,Autumn,6,512,10,Under Warranty,1,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,900,1,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Smartwatch,Amazfit,Band 7,RTOS,79,13,71,Gaming,Spring,2,8,10,Expired,2,Digital Crown Stuck,Button Not Responding,Crown Fallen Off,Crown Button,Low,2703,5,Clean around crown. Replace digital crown assembly.
Laptop,Samsung,Galaxy Book 4,macOS Ventura,12,13,10,Education,Summer,16,512,53,Under Warranty,0,Cursor Jumping,Touchpad Not Responding,Click Not Working,Touchpad,Low,1080,3,Update touchpad drivers. Adjust sensitivity. Replace touchpad if hardware fault.
Mobile,Samsung,Galaxy A34,Android 12,1,12,1,Healthcare,Monsoon,4,64,78,Expired,3,Cracked Screen,Touch Not Working,Display Broken,Display,High,9841,2,Replace display + digitizer assembly.
Desktop,Asus,ProArt PA90,Fedora 38,24,4,21,Content Creator,Spring,32,4096,0,Expired,0,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,283,1,Check front panel connectors. Replace power button if faulty.
Smartwatch,Apple,Watch SE 2nd Gen 40mm,Wear OS 3,24,14,20,Content Creator,Summer,2,16,68,Expired,3,Inaccurate Reading,Sensor Not Working,No HR Data,Heart Rate Sensor,Medium,3032,3,Clean optical sensor. Wear watch correctly. Replace sensor module if faulty.
Mobile,Oppo,A98,iOS 15,46,12,37,Education,Autumn,12,64,88,Extended Warranty,3,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,2286,2,"Try original charger. If issue persists, replace Charging IC."
Tablet,Xiaomi,Pad 6,Android 13,43,15,36,Business,Winter,8,512,13,Expired,2,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,1146,2,Clean port with compressed air. Replace charging port.
Mobile,Google,Pixel 7,Android 12,77,3,74,Gaming,Monsoon,8,128,86,Under Warranty,3,Green Tint,Dead Pixels,Burn In,Display,Medium,7727,1,Replace display panel. Burn-in not covered under warranty.
Laptop,Razer,Blade 16,Windows 10,27,16,25,Developer,Winter,64,512,76,Under Warranty,3,Random Crashes,Blue Screen,Memory Warning,RAM,High,2799,1,Reseat RAM sticks. Run memory diagnostics. Replace faulty RAM module.
Tablet,Samsung,Galaxy Tab S9,Android 14,35,10,31,Content Creator,Monsoon,3,256,69,Under Warranty,4,Low Volume,Distorted Sound,No Audio,Speaker,Low,985,2,Clean speaker grille. Replace speaker unit if hardware fault.
Laptop,Acer,Nitro 5,Windows 11 Pro,43,13,40,Developer,Summer,8,2048,56,Expired,1,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,1924,1,Try different power outlet. Replace charger/adapter. Check charging port.
Laptop,Dell,G15 Gaming,Windows 11 Home,51,6,40,Education,Summer,16,2048,43,Expired,0,Poor Backup,Battery Swelling,Heating,Battery,Medium,3319,1,Replace laptop battery. Use only manufacturer-approved battery.
Desktop,Apple,Mac Studio M2 Ultra,Ubuntu 22.04,33,5,30,Normal,Monsoon,64,256,0,Extended Warranty,1,Poor Airflow,High Case Temperature,Loud Case Noise,Cabinet Fan,Low,305,1,Clean case fans. Add additional fans. Optimize cable management.
Smartwatch,Apple,Watch Series 9 41mm,RTOS,53,2,35,Healthcare,Summer,2,16,7,Extended Warranty,2,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,838,4,Check haptic settings. Replace vibration motor module.
Smartwatch,boAt,Wave Call 3,Wear OS 3,48,15,44,Office,Spring,2,4,27,Extended Warranty,2,Not Charging,Loose Charger,Wireless Charging Failure,Charging Port,Medium,586,3,Clean charging contacts. Try different charger. Replace charging module.
Printer,HP,DeskJet 2755e,macOS Sonoma,65,5,57,Office,Spring,0,0,0,Extended Warranty,2,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,4784,4,"Run automated printhead cleaning. If issue persists, replace printhead."
Tablet,Samsung,Galaxy Tab S9 Ultra,Fire OS 8,10,3,6,Education,Autumn,6,128,42,Expired,3,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1622,3,Recalibrate Touch ID. Replace home button assembly.
Smart TV,Samsung,Neo QLED 4K QN95C,Tizen 6.5,69,8,62,Business,Winter,2,32,0,Expired,2,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,535,1,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Mobile,Apple,iPhone 15,Android 14,51,4,36,Office,Winter,6,512,18,Under Warranty,4,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,1630,2,"Clean charging port with compressed air. If issue persists, replace port."
Laptop,Apple,MacBook Pro 14 M3,Windows 11 Pro,34,16,17,Education,Winter,8,2048,81,Under Warranty,2,No POST,USB Failure,Random Freeze,Motherboard,Critical,8202,9,Motherboard-level repair required. Consult authorized technician immediately.
Tablet,Apple,iPad Pro 11 M4,iPadOS 16,47,5,42,Education,Summer,4,512,84,Under Warranty,0,WiFi Dropping,Cannot Connect,Slow WiFi,WiFi Module,Medium,3440,5,Update firmware. Reset network settings. Replace WiFi module.
Laptop,Acer,Predator Helios 16,Windows 11 Home,84,5,69,Business,Autumn,64,512,49,Under Warranty,4,No POST,USB Failure,Random Freeze,Motherboard,Critical,15731,7,Motherboard-level repair required. Consult authorized technician immediately.
Laptop,Microsoft,Surface Book 3,Ubuntu 22.04,60,8,54,Office,Monsoon,8,512,67,Under Warranty,0,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,1953,2,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Mobile,Vivo,Y100,Android 12,58,14,50,Gaming,Autumn,6,256,36,Under Warranty,1,Cracked Screen,Touch Not Working,Display Broken,Display,High,6950,1,Replace display + digitizer assembly.
Mobile,Google,Pixel 7 Pro,iOS 15,68,8,65,Student,Summer,6,256,40,Expired,2,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,2554,3,"Clear camera cache. If issue persists, replace camera module."
Laptop,Asus,ExpertBook B9,macOS Sonoma,17,5,7,Normal,Winter,8,256,60,Extended Warranty,2,Cracked Screen,Dead Pixels,No Display,Display,High,6868,4,Replace laptop display panel. Physical damage not covered under warranty.
Printer,Brother,INKvestment Tank MFC-J995DW,macOS Ventura,60,7,51,Education,Spring,0,0,0,Expired,1,Smudged Print,Toner Not Sticking,Burning Smell From Printer,Fuser Unit,High,3071,3,Allow printer to cool. Replace fuser unit. Only for laser printers.
Router,Asus,RT-AX55,DD-WRT,27,5,11,Business,Monsoon,0,0,0,Extended Warranty,2,No Internet From ISP,WAN LED Off,ISP Connected But No Net,WAN Port,High,4604,2,Check ISP line. Test with different cable. Replace router if WAN port damaged.
Desktop,Dell,Alienware Aurora R16,Windows 10 Pro,77,1,65,Normal,Spring,16,4096,0,Under Warranty,1,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,67,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Tablet,Samsung,Galaxy Tab S9+,iPadOS 17,62,4,47,Education,Autumn,4,256,68,Under Warranty,2,Fast Drain,Not Charging,Random Shutdown,Battery,High,2037,2,Replace tablet battery at authorized service center.
Laptop,Lenovo,Yoga Slim 7,macOS Sonoma,16,16,7,Education,Spring,8,1024,48,Under Warranty,2,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,1589,1,Try different power outlet. Replace charger/adapter. Check charging port.
Smartwatch,Noise,ColorFit Ultra 3,RTOS,79,3,66,Developer,Monsoon,1,32,50,Extended Warranty,3,Inaccurate Reading,Sensor Not Working,No HR Data,Heart Rate Sensor,Medium,2037,3,Clean optical sensor. Wear watch correctly. Replace sensor module if faulty.
Laptop,Microsoft,Surface Laptop 5,macOS Ventura,12,11,9,Content Creator,Spring,8,512,58,Under Warranty,0,WiFi Not Connecting,Dropping Connection,Slow WiFi,WiFi Card,Medium,2638,2,Update WiFi drivers. Replace WiFi/Bluetooth combo card.
Laptop,Asus,ROG Zephyrus G14,Linux Mint,67,11,58,Developer,Autumn,8,2048,14,Under Warranty,2,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,2732,2,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Mobile,Apple,iPhone 15 Pro,iOS 15,72,16,63,Gaming,Summer,6,128,39,Under Warranty,4,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,1118,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Smartwatch,Noise,Pulse Go Buzz,WatchOS 10,84,7,78,Content Creator,Summer,1,4,86,Under Warranty,4,Inaccurate Reading,Sensor Not Working,No HR Data,Heart Rate Sensor,Medium,2744,4,Clean optical sensor. Wear watch correctly. Replace sensor module if faulty.
Smartwatch,Garmin,Forerunner 965,Wear OS 4,68,15,66,Business,Autumn,2,16,53,Under Warranty,3,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,2598,4,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Laptop,MSI,Stealth 16 Studio,macOS Ventura,32,13,29,Developer,Summer,32,1024,21,Under Warranty,2,No POST,USB Failure,Random Freeze,Motherboard,Critical,10533,13,Motherboard-level repair required. Consult authorized technician immediately.
Smart TV,Sony,Bravia X80L,Tizen 7.0,54,7,41,Developer,Monsoon,2,32,0,Extended Warranty,3,TV Not Turning On,Stuck On Logo,HDMI Not Working,Main Board,Critical,7606,10,Replace main/motherboard. Visit service center.
Printer,Brother,MFC-L2750DW,Windows 11,41,8,26,Education,Monsoon,0,0,0,Under Warranty,1,Printer Offline,Cannot Print Wirelessly,Network Not Found,WiFi Module,Medium,1541,2,Reset network settings. Reconnect to WiFi. Update printer firmware.
Desktop,MSI,Aegis Ti5,Linux Mint 21,9,16,8,Content Creator,Spring,8,4096,0,Extended Warranty,1,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,160,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Laptop,Apple,MacBook Air M2,Windows 11 Pro,44,5,40,Content Creator,Monsoon,64,256,63,Extended Warranty,4,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,3970,2,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Desktop,Dell,Precision Tower 5860,Windows 10 Pro,18,5,1,Office,Summer,16,2048,0,Under Warranty,4,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,399,1,Check front panel connectors. Replace power button if faulty.
Desktop,Custom Build,AMD Ryzen 9 7950X Build,Windows 11 Home,73,9,67,Content Creator,Spring,16,2048,0,Expired,4,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,1896,1,Update NIC drivers. Replace network card if faulty.
Printer,Epson,EcoTank ET-2803,Windows 10,13,1,4,Content Creator,Winter,0,0,0,Expired,4,Printer Offline,Cannot Print Wirelessly,Network Not Found,WiFi Module,Medium,1365,1,Reset network settings. Reconnect to WiFi. Update printer firmware.
Smart TV,Hisense,U7K,Tizen 6.5,36,6,33,Healthcare,Summer,3,8,0,Extended Warranty,4,Dim Display,Dark Patches,Backlight Flickering,Backlight,High,5429,4,Replace LED backlight strips or backlight driver board.
Smart TV,OnePlus,Q2 Pro,Android TV 11,42,6,36,Normal,Monsoon,1,16,0,Expired,3,Half Screen Dark,Horizontal Lines,Color Issues,T-Con Board,High,1947,2,Replace T-Con board. Experienced technician required.
Smart TV,LG,UQ9000,WebOS 22,50,9,38,Education,Autumn,4,16,0,Under Warranty,2,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,1269,1,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Mobile,Samsung,Galaxy S22,Android 14,30,7,20,Developer,Spring,4,64,85,Expired,3,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,549,2,"Clean charging port with compressed air. If issue persists, replace port."
Smartwatch,Fitbit,Versa 4,WatchOS 9,5,4,4,Normal,Spring,2,8,70,Extended Warranty,1,Digital Crown Stuck,Button Not Responding,Crown Fallen Off,Crown Button,Low,1924,4,Clean around crown. Replace digital crown assembly.
Laptop,HP,Envy x360 15,macOS Ventura,64,13,62,Gaming,Summer,8,2048,28,Expired,2,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,6441,3,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Smart TV,LG,OLED G3,Android TV 12,76,6,66,Content Creator,Autumn,2,8,0,Extended Warranty,1,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,1360,2,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Desktop,Lenovo,Legion Tower 7i,Fedora 38,62,7,47,Gaming,Spring,8,1024,0,Extended Warranty,2,POST Failure,Beep Sound,Random Blue Screen,RAM,High,4320,1,Reseat RAM. Test each stick individually. Replace faulty module.
Mobile,Nothing,Phone 2a,iOS 15,58,6,57,Developer,Autumn,16,64,28,Expired,4,No Sound,Calls OK,Headphones Work,Speaker,Medium,1816,2,"Clean speaker grille. If no improvement, replace speaker unit."
Laptop,Dell,XPS 13 Plus,Ubuntu 22.04,30,16,17,Healthcare,Spring,64,256,49,Under Warranty,0,Thermal Throttling,High CPU Temp,Sudden Shutdown Under Load,Thermal Paste,Medium,439,1,Repaste CPU and GPU with high-quality thermal compound.
Laptop,Dell,XPS 13 9340,Windows 11 Home,33,13,21,Content Creator,Summer,16,512,46,Expired,4,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,1155,1,Update camera drivers. Check privacy shutter. Replace webcam module.
Mobile,Oppo,A58,iOS 15,59,4,56,Content Creator,Spring,12,64,94,Under Warranty,0,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,7040,3,Clear app data. Factory reset. Replace camera if hardware issue.
Printer,HP,OfficeJet Pro 9015e,Windows 10,56,4,48,Student,Winter,0,0,0,Under Warranty,4,Printer Not Starting,Error Code On Display,All Lights Blinking,Main Board,Critical,7966,7,Factory reset. Flash firmware. Replace main board if reset fails.
Mobile,Vivo,V27 Pro,iOS 17,5,10,1,Healthcare,Summer,6,1024,12,Extended Warranty,1,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2871,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Tablet,Samsung,Galaxy Tab A8,iPadOS 17,2,4,1,Education,Winter,4,1024,74,Expired,0,Blurry Camera,Camera Not Opening,Autofocus Failure,Camera,Medium,5445,2,Clear camera app cache. Replace camera module if hardware fault.
Mobile,Motorola,G34,iOS 17,73,4,72,Office,Spring,6,64,71,Under Warranty,1,Cracked Screen,Touch Not Working,Display Broken,Display,High,11106,1,Replace display + digitizer assembly.
Smart TV,TCL,P745,Android TV 12,3,11,2,Business,Monsoon,3,32,0,Under Warranty,4,No Display,Dead Pixels,Cracked Screen,Display Panel,Critical,29432,6,Replace display panel. Very expensive — check warranty. May be better to replace TV.
Smartwatch,Noise,ColorFit Ultra 3,Fitbit OS 6,54,4,49,Healthcare,Monsoon,2,32,63,Expired,3,SpO2 Not Reading,Sensor Error,Blood Oxygen Inaccurate,SpO2 Sensor,Medium,1334,5,Clean sensor. Update firmware. Replace SpO2 sensor module.
Mobile,Samsung,Galaxy Z Flip 5,iOS 15,62,4,58,Office,Winter,6,64,15,Expired,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2389,1,"Recalibrate battery. If issue persists, replace battery."
Mobile,Samsung,Galaxy Z Fold 5,Android 13,3,10,1,Normal,Autumn,4,1024,6,Under Warranty,2,Flickering Screen,Lines On Screen,Touch OK,Display,High,9388,1,Replace AMOLED display panel. Use original parts for best quality.
Tablet,Samsung,Galaxy Tab S9 FE,iPadOS 17,42,6,38,Developer,Summer,4,64,81,Under Warranty,4,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,2099,3,Clean port with compressed air. Replace charging port.
Tablet,Lenovo,Tab M10 Plus Gen 3,Android 13,61,4,49,Healthcare,Summer,12,256,47,Expired,3,Fast Drain,Not Charging,Random Shutdown,Battery,High,2134,2,Replace tablet battery at authorized service center.
Mobile,Motorola,G34,iOS 16,77,6,72,Normal,Monsoon,12,256,76,Under Warranty,1,Flickering Screen,Lines On Screen,Touch OK,Display,High,4650,2,Replace AMOLED display panel. Use original parts for best quality.
Printer,HP,PageWide Pro 477dw,Windows 10,68,6,58,Developer,Spring,0,0,0,Extended Warranty,4,Printer Not Starting,Error Code On Display,All Lights Blinking,Main Board,Critical,8839,6,Factory reset. Flash firmware. Replace main board if reset fails.
Mobile,Oppo,Find X7,Android 12,23,10,15,Gaming,Monsoon,4,64,24,Under Warranty,2,Flickering Screen,Lines On Screen,Touch OK,Display,High,13969,3,Replace AMOLED display panel. Use original parts for best quality.
Mobile,Xiaomi,13 Pro,iOS 16,66,4,50,Gaming,Winter,8,1024,20,Expired,3,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,2227,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Printer,HP,OfficeJet Pro 9015e,macOS Ventura,54,12,51,Business,Monsoon,0,0,0,Expired,2,Printer Not Starting,Error Code On Display,All Lights Blinking,Main Board,Critical,7996,6,Factory reset. Flash firmware. Replace main board if reset fails.
Smart TV,Samsung,Neo QLED 8K QN900C,WebOS 23,65,5,48,Office,Autumn,3,8,0,Expired,4,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,2953,5,Restart router and TV. Update firmware. Replace WiFi module.
Desktop,Apple,Mac Mini M2,Windows 11 Home,48,6,45,Healthcare,Autumn,32,512,0,Under Warranty,2,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,313,1,Check front panel connectors. Replace power button if faulty.
Laptop,Microsoft,Surface Laptop 5,macOS Sonoma,40,12,34,Education,Winter,64,512,15,Expired,0,No POST,USB Failure,Random Freeze,Motherboard,Critical,9150,5,Motherboard-level repair required. Consult authorized technician immediately.
Laptop,MSI,Raider GE78 HX,Windows 10,27,1,15,Education,Winter,32,1024,32,Under Warranty,4,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,859,2,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Router,Asus,ZenWiFi Pro ET12,OpenWRT,6,5,4,Office,Autumn,0,0,0,Expired,2,Router Hot To Touch,Randomly Disconnecting,Slow After Running Long,Overheating,Medium,9,1,Improve ventilation. Place router in open area. Consider adding heatsink.
Mobile,Apple,iPhone 14,Android 13,64,14,62,Gaming,Spring,12,512,31,Extended Warranty,4,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,4897,3,Replace Charging IC chip — requires motherboard-level repair.
Printer,Xerox,B210 Monochrome,macOS Ventura,35,11,28,Office,Summer,0,0,0,Expired,4,Faded Print,Streaky Output,Color Missing,Ink Cartridge,Low,2612,1,Replace or refill ink cartridges. Run printhead cleaning cycle.
Smartwatch,Fitbit,Versa 4,WatchOS 10,27,4,23,Education,Monsoon,2,8,17,Extended Warranty,2,No GPS Signal,Inaccurate Location,GPS Not Locking,GPS Module,Medium,1501,7,Update firmware. Sync with phone. Replace GPS module if hardware fault.
Desktop,Custom Build,AMD Ryzen 9 7950X Build,Windows 11 Home,64,15,56,Student,Spring,32,4096,0,Under Warranty,1,Long Boot Time,Disk Health Alert,Storage Not Detected,SSD,High,3308,2,Run CrystalDiskInfo. Replace SSD if health critical. Backup data immediately.
Mobile,Samsung,Galaxy A54,iOS 16,20,8,3,Education,Summer,6,1024,72,Expired,3,Flickering Screen,Lines On Screen,Touch OK,Display,High,13050,3,Replace AMOLED display panel. Use original parts for best quality.
Mobile,Oppo,Find X7,Android 14,54,9,47,Normal,Winter,16,256,34,Expired,2,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,7557,3,"Clear camera cache. If issue persists, replace camera module."
Mobile,Apple,iPhone 16 Pro,iOS 17,10,7,8,Education,Summer,16,256,13,Extended Warranty,2,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,1104,2,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Mobile,Realme,11 Pro,Android 14,21,4,15,Gaming,Summer,6,128,51,Expired,4,Cracked Screen,Touch Not Working,Display Broken,Display,High,12537,2,Replace display + digitizer assembly.
Mobile,Samsung,Galaxy F54,iOS 16,55,10,53,Normal,Autumn,12,256,62,Extended Warranty,2,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,1274,3,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Laptop,Samsung,Galaxy Book 4 Pro,macOS Sonoma,53,4,47,Developer,Monsoon,32,256,50,Extended Warranty,2,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,1887,3,Update camera drivers. Check privacy shutter. Replace webcam module.
Router,TP-Link,Archer AX73,DD-WRT,61,12,51,Developer,Monsoon,0,0,0,Under Warranty,2,No Internet From ISP,WAN LED Off,ISP Connected But No Net,WAN Port,High,3490,3,Check ISP line. Test with different cable. Replace router if WAN port damaged.
Mobile,Samsung,Galaxy S24+,Android 12,37,13,33,Office,Monsoon,12,256,10,Expired,2,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,3199,4,Recalibrate Face ID. Replace face recognition module if hardware fault.
Mobile,Vivo,X100,iOS 17,70,10,67,Business,Summer,8,256,22,Expired,2,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,1232,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Smartwatch,Garmin,Forerunner 965,RTOS,40,15,28,Education,Autumn,2,32,29,Under Warranty,4,No Sound From Watch,Call Audio Not Heard,Alarm Not Audible,Speaker,Low,1135,2,Check volume settings. Replace speaker unit.
Desktop,Acer,Predator Orion 7000,Windows 11 Pro,44,16,27,Content Creator,Autumn,8,512,0,Extended Warranty,2,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,107,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Laptop,Samsung,Galaxy Book 4,Windows 10,52,1,41,Content Creator,Autumn,64,256,88,Under Warranty,2,Lines On Screen,Display Flickering,Backlight Failure,Display,High,6479,3,Check display cable connection. Replace display panel if faulty.
Mobile,Google,Pixel 7a,Android 14,81,4,77,Content Creator,Summer,6,128,56,Under Warranty,1,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,1757,2,"Clear camera cache. If issue persists, replace camera module."
Desktop,Apple,Mac Studio M2 Ultra,Ubuntu 22.04,55,13,52,Education,Winter,16,2048,0,Expired,3,No POST,System Not Starting,CPU Fan Spinning But No Display,CPU,Critical,28755,3,Reseat CPU. Check for bent pins. Replace CPU if damaged.
Desktop,Acer,Aspire TC-1760,Ubuntu 22.04,2,2,1,Developer,Autumn,128,256,0,Under Warranty,0,Thermal Warning,Loud Noise,CPU Overheating,CPU Fan,High,651,1,Clean CPU fan and heatsink. Replace thermal paste. Replace fan if noisy.
